Name,Case,Skin,Rarity
Tec-9,Prisma Case,Bamboozle,Restricted
Desert Eagle,Prisma Case,Light Rail,Restricted
MP5-SD,Prisma Case,Gauss,Restricted
UMP-45,Prisma Case,Moonrise,Restricted
R8 Revolver,Prisma Case,Skull Crusher,Classified
AUG,Prisma Case,Momentum,Classified
XM1014,Prisma Case,Incinegator,Classified
Five-SeveN,Prisma Case,Angry Mob,Covert
M4A4,Prisma Case,The Emperor,Covert
Knife,Prisma Case,Knife,Exceedingly Rare
FAMAS,Recoil Case,Meow 36,Mil_Spec Grade
Galil AR,Recoil Case,Destroyer,Mil_Spec Grade
M4A4,Recoil Case,Poly Mag,Mil_Spec Grade
MAC-10,Recoil Case,Monkeyflage,Mil_Spec Grade
Negev,Recoil Case,Drop Me,Mil_Spec Grade
UMP-45,Recoil Case,Roadblock,Mil_Spec Grade
Glock-18,Recoil Case,Winterized,Mil_Spec Grade
R8 Revolver,Recoil Case,Crazy 8,Restricted
M249,Recoil Case,Downtown,Restricted
SG 553,Recoil Case,Dragon Tech,Restricted
P90,Recoil Case,Vent Rush,Restricted
Dual Berettas,Recoil Case,Flora Carnivora,Restricted
AK-47,Recoil Case,Ice Coaled,Classified
P250,Recoil Case,Visions,Classified
Sawed-Off,Recoil Case,Kiss♥Love,Classified
USP-S,Recoil Case,Printstream,Covert
AWP,Recoil Case,Chromatic Aberration,Covert
Gloves,Recoil Case,Gloves,Exceedingly Rare
MAG-7,Revolution Case,Insomnia,Mil_Spec Grade
MP9,Revolution Case,Featherweight,Mil_Spec Grade
SCAR-20,Revolution Case,Fragments,Mil_Spec Grade
P250,Revolution Case,Re.built,Mil_Spec Grade
MP5-SD,Revolution Case,Liquidation,Mil_Spec Grade
SG 553,Revolution Case,Cyberforce,Mil_Spec Grade
Tec-9,Revolution Case,Rebel,Mil_Spec Grade
M4A1-S,Revolution Case,Emphorosaur-S,Restricted
Glock-18,Revolution Case,Umbral Rabbit,Restricted
MAC-10,Revolution Case,Sakkaku,Restricted
R8 Revolver,Revolution Case,Banana Cannon,Restricted
P90,Revolution Case,Neoqueen,Restricted
AWP,Revolution Case,Duality,Classified
UMP-45,Revolution Case,Wild Child,Classified
P2000,Revolution Case,Wicked Sick,Classified
M4A4,Revolution Case,Temukau,Covert
AK-47,Revolution Case,Head Shot,Covert
Gloves,Revolution Case,Gloves,Exceedingly Rare
R8 Revolver,Revolver Case,Crimson Web,Mil_Spec Grade
AUG,Revolver Case,Ricochet,Mil_Spec Grade
Desert Eagle,Revolver Case,Corinthian,Mil_Spec Grade
P2000,Revolver Case,Imperial,Mil_Spec Grade
Sawed-Off,Revolver Case,Yorick,Mil_Spec Grade
SCAR-20,Revolver Case,Outbreak,Mil_Spec Grade
PP-Bizon,Revolver Case,Fuel Rod,Restricted
Five-SeveN,Revolver Case,Retrobution,Restricted
Negev,Revolver Case,Power Loader,Restricted
SG 553,Revolver Case,Tiger Moth,Restricted
Tec-9,Revolver Case,Avalanche,Restricted
XM1014,Revolver Case,Teclu Burner,Restricted
AK-47,Revolver Case,Point Disarray,Classified
G3SG1,Revolver Case,The Executioner,Classified
P90,Revolver Case,Shapewood,Classified
M4A4,Revolver Case,Royal Paladin,Covert
R8 Revolver,Revolver Case,Fade,Covert
Knife,Revolver Case,Knife,Exceedingly Rare
Dual Berettas,Shadow Case,Dualing Dragons,Mil_Spec Grade
FAMAS,Shadow Case,Survivor Z,Mil_Spec Grade
Glock-18,Shadow Case,Wraiths,Mil_Spec Grade
MAC-10,Shadow Case,Rangeen,Mil_Spec Grade
MAG-7,Shadow Case,Cobalt Core,Mil_Spec Grade
SCAR-20,Shadow Case,Green Marine,Mil_Spec Grade
XM1014,Shadow Case,Scumbria,Mil_Spec Grade
Galil AR,Shadow Case,Stone Cold,Restricted
M249,Shadow Case,Nebula Crusader,Restricted
MP7,Shadow Case,Special Delivery,Restricted
P250,Shadow Case,Wingshot,Restricted
AK-47,Shadow Case,Frontside Misty,Classified
G3SG1,Shadow Case,Flux,Classified
SSG 08,Shadow Case,Big Iron,Classified
M4A1-S,Shadow Case,Golden Coil,Covert
USP-S,Shadow Case,Kill Confirmed,Covert
Knife,Shadow Case,Knife,Exceedingly Rare
MP5-SD,Shattered Web Case,Acid Wash,Mil_Spec Grade
Nova,Shattered Web Case,Plume,Mil_Spec Grade
G3SG1,Shattered Web Case,Black Sand,Mil_Spec Grade
R8 Revolver,Shattered Web Case,Memento,Mil_Spec Grade
Dual Berettas,Shattered Web Case,Balance,Mil_Spec Grade
SCAR-20,Shattered Web Case,Torn,Mil_Spec Grade
M249,Shattered Web Case,Warbird,Mil_Spec Grade
PP-Bizon,Shattered Web Case,Embargo,Restricted
AK-47,Shattered Web Case,Rat Rod,Restricted
AUG,Shattered Web Case,Arctic Wolf,Restricted
MP7,Shattered Web Case,Neon Ply,Restricted
P2000,Shattered Web Case,Obsidian,Restricted
Tec-9,Shattered Web Case,Decimator,Classified
SG 553,Shattered Web Case,Colony IV,Classified
SSG 08,Shattered Web Case,Bloodshot,Classified
AWP,Shattered Web Case,Containment Breach,Covert
MAC-10,Shattered Web Case,Stalker,Covert
Knife,Shattered Web Case,Knife,Exceedingly Rare
SG 553,Snakebite Case,Heavy Metal,Mil_Spec Grade
Glock-18,Snakebite Case,Clear Polymer,Mil_Spec Grade
M249,Snakebite Case,O.S.I.P.R.,Mil_Spec Grade
CZ75-Auto,Snakebite Case,Circaetus,Mil_Spec Grade
UMP-45,Snakebite Case,Oscillator,Mil_Spec Grade
R8 Revolver,Snakebite Case,Junk Yard,Mil_Spec Grade
Nova,Snakebite Case,Windblown,Mil_Spec Grade
P250,Snakebite Case,Cyber Shell,Restricted
Negev,Snakebite Case,dev_texture,Restricted
MAC-10,Snakebite Case,Button Masher,Restricted
Desert Eagle,Snakebite Case,Trigger Discipline,Restricted
AK-47,Snakebite Case,Slate,Restricted
MP9,Snakebite Case,Food Chain,Classified
XM1014,Snakebite Case,XOXO,Classified
Galil AR,Snakebite Case,Chromatic Aberration,Classified
USP-S,Snakebite Case,The Traitor,Covert
M4A4,Snakebite Case,In Living Color,Covert
Gloves,Snakebite Case,Gloves,Exceedingly Rare
Sawed-Off,Spectrum 2 Case,Morris,Mil_Spec Grade
AUG,Spectrum 2 Case,Triqua,Mil_Spec Grade
G3SG1,Spectrum 2 Case,Hunter,Mil_Spec Grade
Glock-18,Spectrum 2 Case,Off World,Mil_Spec Grade
MAC-10,Spectrum 2 Case,Oceanic,Mil_Spec Grade
Tec-9,Spectrum 2 Case,Cracked Opal,Mil_Spec Grade
SCAR-20,Spectrum 2 Case,Jungle Slipstream,Mil_Spec Grade
MP9,Spectrum 2 Case,Goo,Restricted
SG 553,Spectrum 2 Case,Phantom,Restricted
CZ75-Auto,Spectrum 2 Case,Tacticat,Restricted
UMP-45,Spectrum 2 Case,Exposure,Restricted
XM1014,Spectrum 2 Case,Ziggy,Restricted
PP-Bizon,Spectrum 2 Case,High Roller,Classified
M4A1-S,Spectrum 2 Case,Leaded Glass,Classified
R8 Revolver,Spectrum 2 Case,Llama Cannon,Classified
AK-47,Spectrum 2 Case,The Empress,Covert
P250,Spectrum 2 Case,See Ya Later,Covert
Knife,Spectrum 2 Case,Knife,Exceedingly Rare
PP-Bizon,Spectrum Case,Jungle Slipstream,Mil_Spec Grade
SCAR-20,Spectrum Case,Blueprint,Mil_Spec Grade
Desert Eagle,Spectrum Case,Oxide Blaze,Mil_Spec Grade
Five-SeveN,Spectrum Case,Capillary,Mil_Spec Grade
MP7,Spectrum Case,Akoben,Mil_Spec Grade
P250,Spectrum Case,Ripple,Mil_Spec Grade
Sawed-Off,Spectrum Case,Zander,Mil_Spec Grade
Galil AR,Spectrum Case,Crimson Tsunami,Restricted
M249,Spectrum Case,Emerald Poison Dart,Restricted
MAC-10,Spectrum Case,Last Dive,Restricted
UMP-45,Spectrum Case,Scaffold,Restricted
XM1014,Spectrum Case,Seasons,Restricted
AWP,Spectrum Case,Fever Dream,Classified
CZ75-Auto,Spectrum Case,Xiangliu,Classified
M4A1-S,Spectrum Case,Decimator,Classified
AK-47,Spectrum Case,Bloodsport,Covert
USP-S,Spectrum Case,Neo-Noir,Covert
Knife,Spectrum Case,Knife,Exceedingly Rare
Galil AR,Winter Offensive Weapon Case,Sandstorm,Mil_Spec Grade
Five-SeveN,Winter Offensive Weapon Case,Kami,Mil_Spec Grade
M249,Winter Offensive Weapon Case,Magma,Mil_Spec Grade
PP-Bizon,Winter Offensive Weapon Case,Cobalt Halftone,Mil_Spec Grade
FAMAS,Winter Offensive Weapon Case,Pulse,Restricted
Dual Berettas,Winter Offensive Weapon Case,Marina,Restricted
MP9,Winter Offensive Weapon Case,Rose Iron,Restricted
Nova,Winter Offensive Weapon Case,Rising Skull,Restricted
M4A1-S,Winter Offensive Weapon Case,Guardian,Classified
P250,Winter Offensive Weapon Case,Mehndi,Classified
AWP,Winter Offensive Weapon Case,Redline,Classified
M4A4,Winter Offensive Weapon Case,Asiimov,Covert
Sawed-Off,Winter Offensive Weapon Case,The Kraken,Covert
Knife,Winter Offensive Weapon Case,Knife,Exceedingly Rare
