Float Value,Mil-Spec,Restricted,Classified
0.872,3.7,16.49,56.59
0.873,3.7,16.49,56.59
0.874,3.7,16.49,56.59
0.875,3.7,16.49,56.59
0.876,3.7,16.49,56.59
0.877,3.7,16.49,56.59
0.878,3.7,16.49,56.59
0.879,3.7,16.49,56.59
0.88,3.7,16.49,56.59
0.881,3.7,16.49,56.59
0.882,3.7,16.49,56.59
0.883,3.7,16.49,56.59
0.884,3.7,16.49,56.59
0.885,3.7,16.49,56.59
0.886,3.7,16.49,56.59
0.887,3.7,16.49,56.59
0.888,3.7,16.49,56.59
0.889,3.7,16.49,56.59
0.89,3.7,16.49,56.59
0.891,3.7,16.49,56.59
0.892,3.7,16.49,56.59
0.893,3.7,16.49,56.59
0.894,3.7,16.49,56.59
0.895,3.7,16.49,56.59
0.896,3.7,16.49,56.59
0.897,3.7,16.49,56.59
0.898,3.7,16.49,56.59
0.899,3.7,16.49,56.59
0.9,3.7,16.49,56.59
0.901,3.7,16.49,56.59
0.902,3.7,16.49,56.59
0.903,3.7,16.49,56.59
0.904,3.7,16.49,56.59
0.905,3.7,16.49,56.59
0.906,3.7,16.49,56.59
0.907,3.7,16.49,56.59
0.908,3.7,16.49,56.59
0.909,3.7,16.49,56.59
0.91,3.7,16.49,56.59
0.911,3.7,16.49,56.59
0.912,3.7,16.49,56.59
0.913,3.7,16.49,56.59
0.914,3.7,16.49,56.59
0.915,3.7,16.49,56.59
0.916,3.7,16.49,56.59
0.917,3.7,16.49,56.59
0.918,3.7,16.49,56.59
0.919,3.7,16.49,56.59
0.92,3.7,16.49,56.59
0.921,3.7,16.49,56.59
0.922,3.7,16.49,56.59
0.923,3.7,16.49,56.59
0.924,3.7,16.49,56.59
0.925,3.7,16.49,56.59
0.926,3.7,16.49,56.59
0.927,3.7,16.49,56.59
0.928,3.7,16.49,56.59
0.929,3.7,16.49,56.59
0.93,3.7,16.49,56.59
0.931,3.7,16.49,56.59
0.932,3.7,16.49,56.59
0.933,3.7,16.49,56.59
0.934,3.7,16.49,56.59
0.935,3.7,16.49,56.59
0.936,3.7,16.49,56.59
0.937,3.7,16.49,56.59
0.938,3.7,16.49,56.59
0.939,3.7,16.49,56.59
0.94,3.7,16.49,56.59
0.941,3.7,16.49,56.59
0.942,3.7,16.49,56.59
0.943,3.7,16.49,56.59
0.944,3.7,16.49,56.59
0.945,3.7,16.49,56.59
0.946,3.7,16.49,56.59
0.947,3.7,16.49,56.59
0.948,3.7,16.49,56.59
0.949,3.7,16.49,56.59
0.95,3.7,16.49,56.59
0.951,3.7,16.49,56.59
0.952,3.7,16.49,56.59
0.953,3.7,16.49,56.59
0.954,3.7,16.49,56.59
0.955,3.7,16.49,56.59
0.956,3.7,16.49,56.59
0.957,3.7,16.49,56.59
0.958,3.7,16.49,56.59
0.959,3.7,16.49,56.59
0.96,3.7,16.49,56.59
0.961,3.7,16.49,56.59
0.962,3.7,16.49,56.59
0.963,3.7,16.49,56.59
0.964,3.7,16.49,56.59
0.965,3.7,16.49,56.59
0.966,3.7,16.49,56.59
0.967,3.7,16.49,56.59
0.968,3.7,16.49,56.59
0.969,3.7,16.49,56.59
0.97,3.7,16.49,56.59
0.971,3.7,16.49,56.59
0.972,3.7,16.49,56.59
0.973,3.7,16.49,56.59
0.974,3.7,16.49,56.59
0.975,3.7,16.49,56.59
0.976,3.7,16.49,56.59
0.977,3.7,16.49,56.59
0.978,3.7,16.49,56.59
0.979,3.7,16.49,56.59
0.98,3.7,16.49,56.59
0.981,3.7,16.49,56.59
0.982,3.7,16.49,56.59
0.983,3.7,16.49,56.59
0.984,3.7,16.49,56.59
0.985,3.7,16.49,56.59
0.986,3.7,16.49,56.59
0.987,3.7,16.49,56.59
0.988,3.7,16.49,56.59
0.989,3.7,16.49,56.59
0.99,3.7,16.49,56.59
0.991,3.7,16.49,56.59
0.992,3.7,16.49,56.59
0.993,3.7,16.49,56.59
0.994,3.7,16.49,56.59
0.995,3.7,16.49,56.59
0.996,3.7,16.49,56.59
0.997,3.7,16.49,56.59
0.998,3.7,16.49,56.59
0.999,3.7,16.49,56.59
